模板ID,名称,品级,描述,装备类型,类型,子类型,占用格子,门派ID,五行,秘籍ID,可奇遇获取,非公开,门派内排序,使用需求,正练效果ID,逆练效果ID,继承造诣加成比例,修习类型,突破盘ID,走火入魔内伤,走火入魔受伤部位,走火入魔伤害值,走火入魔气乱,可获得内力总量,每循环获得内力,循环目标类型,循环转化类型,每循环五行变化,特定格子,通用格子,命中值,闪避值,穿透,穿透抵抗,架势提气恢复,移动速度,破绽恢复,施展速度,封穴恢复,切换武器速度,攻击速度,内功比例,气乱恢复,毒抗,准备总进度,需求身体部位,脚力消耗,提气架势总消耗,基础内功比例,内功比例变化范围,穿透值,施展时额外距离,式消耗,武器耐久消耗,移动力消耗,最适武器ID,固定最佳武器ID,受伤部位攻击比例分布,总命中,每击伤害比例分布,有攻击封穴效果,有攻击破绽效果,毒素,装备破坏几率,增加移动力类型,增加破体特性,施展时增加移动速度,施展时增加移动速度百分比,移动冷却加成,施展时增加命中,脚力减少速度,脚力增加速度,移动消耗脚力,最大跳跃距离,跳跃准备帧,可部分跳跃,跳跃距离变化帧,跳跃距离变化持续,分数加成类型,分数加成,施展时增加外功穿透抵抗,施展时增加内功穿透抵抗,施展时增加闪避,反击伤害,外伤反弹率,内伤反弹率,持续帧,反弹距离,属性加成列表,外伤步骤,内伤步骤,致命伤步骤,心神伤步骤,可能真气策略列表,额外内力分配进度,循环加成技能列表,真气策略生成概率,无效突破加成类型,正练效果,逆练效果
380,金刚诛灭手,5,金刚诛灭手狠辣绝伦。其手法共有六式，行功者之面色亦会随着这六式而显示出“青，黄，赤，白，空，碧”六种变化，正是“金刚真谛之六色”也。,1,拳掌,Invalid,2,11,0,524,true,false,26,属性0=90; 属性2=50; 属性3=35; 属性83=350; 属性63=350,521,1247,3,2,5,false,"3, 4",2,350,0,0,-1,-1,0,"0, 0, 0, 0",0,"0, 0, 0, 0","0, 0, 0, 0","外:0, 内:0","外:0, 内:0","外:0, 内:0",0,0,0,0,0,0,0,0,"0, 0, 0, 0, 0, 0",33000,4,0,80,0,20,860,10,式6=3,0,0,282,-1,"80, 0, 1, 10, 10, 10, 10",130,"50, 10, 40, 0",false,false,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",50,-1,,0,0,0,"0, 0, 0, 0",36,0,36,-1,-1,false,-1,-1,-1,0,0,0,"0, 0, 0, 0",0,0,0,0,0,list,"0, 0, 0, 90, 90, 0, 0","0, 0, 0, 0, 0, 0, 0",0,0,list2,"0, 0, 0, 0, 0",loopBonusSkillList,0,"20, 19, 17, 41, 42, 43, 44, 45, 46",此功法发挥$0$成威力后，如果运用者至少拥有2个「崩」式，运用者就会仅消耗2个「崩」式，从施展进度50%开始立即再次施展此功法攻击敌人，以此方式施展此功法时，此功法的威力小幅累积提高，持续直到运用者无法再连续施展出此功法，且此功法会由正练转变为逆练,开始施展此功法时，将运用者所有可用的式变化为「崩」式，变化的「崩」式越多，此功法的威力就提高越多；此功法施展结束后，会由逆练转变为正练
381,须弥山四神掌,6,所谓须弥山四神掌：“一曰白银埵持国，坚厚无比；二曰琉璃埵增长，远近如意；三曰水晶埵广目，变化无常；四曰黄金埵多闻，无穷无尽”。,1,拳掌,Invalid,3,11,0,525,true,true,27,属性0=130; 属性2=60; 属性83=400; 属性63=400,522,1248,4,6,6,true,"0, 1, 3, 4",3,400,0,0,-1,-1,0,"0, 0, 0, 0",0,"0, 0, 0, 0","0, 0, 0, 0","外:0, 内:0","外:0, 内:0","外:0, 内:0",0,0,0,0,0,0,0,0,"0, 0, 0, 0, 0, 0",36000,4,0,100,30,20,960,20,式6=4,0,0,282,-1,"80, 20, 1, 10, 10, 0, 0",160,"60, 20, 20, 0",false,false,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",50,-1,,0,0,0,"0, 0, 0, 0",36,0,36,-1,-1,false,-1,-1,-1,0,0,0,"0, 0, 0, 0",0,0,0,0,0,list,"0, 0, 0, 110, 110, 0, 0","0, 0, 0, 0, 0, 0, 0",0,0,list2,"0, 0, 0, 0, 0",loopBonusSkillList,0,"20, 19, 17, 41, 42, 43, 44, 45, 46",此功法发挥$0$成威力时，累积获得1层效果，最多4层：累积1层，此功法的威力大幅提高；累积2层，此功法的最大攻击距离增加；累积3层，此功法造成的直接外伤不会因状态效果降低；累积4层，此功法施展结束时，恢复施展此功法消耗的所有架势,此功法发挥$0$成威力时，累积获得1层效果，最多4层：累积1层，此功法的威力大幅提高；累积2层，此功法的最小攻击距离减少；累积3层，此功法造成的直接内伤不会因状态效果降低；累积4层，此功法施展结束时，恢复施展此功法消耗的所有提气
382,大日如来掌,7,手结“大日如来法印”，身有“遍照一切光明”，迷悟不二，生佛一如，大日如来掌乃金刚宗之神掌真义，有无边无际之大能伟力。,1,拳掌,Invalid,3,11,0,526,true,true,28,属性0=70; 属性2=65; 属性4=70; 属性83=450; 属性63=450,523,1249,4,6,7,true,"0, 1, 3, 4",3,450,0,0,-1,-1,0,"0, 0, 0, 0",0,"0, 0, 0, 0","0, 0, 0, 0","外:0, 内:0","外:0, 内:0","外:0, 内:0",0,0,0,0,0,0,0,0,"0, 0, 0, 0, 0, 0",39000,4,0,100,50,20,1120,20,式6=4,0,0,282,-1,"60, 40, 1, 10, 10, 0, 0",210,"70, 30, 0, 0",false,false,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",50,-1,,0,0,0,"0, 0, 0, 0",36,0,36,-1,-1,false,-1,-1,-1,0,0,0,"0, 0, 0, 0",0,0,0,0,0,list,"0, 0, 0, 140, 140, 0, 0","0, 0, 0, 0, 0, 0, 0",0,0,list2,"0, 0, 0, 0, 0",loopBonusSkillList,0,"20, 19, 17, 41, 42, 43, 44, 45, 46",开始施展此功法时，运用者所有损害状态的影响减半，所有增益状态的影响加倍，持续直到此功法施展结束,开始施展此功法时，敌人的所有增益状态的影响减半，所有损害状态的影响加倍，持续直到此功法施展结束
383,阴风蝎子手,0,阴风蝎子手招招逆行，式式倒转，出于左而攻右，出于右而攻左，伏低乃是攻上，蹿高却为袭下，出手毫无征兆，十分诡异。,1,拳掌,Invalid,1,12,1,527,true,false,23,属性1=60; 属性5=40; 属性83=100; 属性59=100,460,1186,1,8,0,false,"3, 4",1,100,0,0,-1,-1,0,"0, 0, 0, 0",0,"0, 0, 0, 0","0, 0, 0, 0","外:0, 内:0","外:0, 内:0","外:0, 内:0",0,0,0,0,0,0,0,0,"0, 0, 0, 0, 0, 0",18000,4,0,60,0,15,200,10,式7=1; 式8=1,0,0,354,-1,"0, 20, 1, 30, 30, 20, 20",70,"10, 40, 50, 0",false,false,"0, 0, 300, 1, 0, 0, 0, 0, 0, 0, 0, 0",50,-1,,0,0,0,"0, 0, 0, 0",36,0,36,-1,-1,false,-1,-1,-1,0,0,0,"0, 0, 0, 0",0,0,0,0,0,list,"0, 0, 0, 10, 10, 0, 0","0, 0, 0, 10, 10, 0, 0",0,0,list2,"0, 0, 0, 0, 0",loopBonusSkillList,0,"20, 19, 41, 43, 44, 45, 46",开始施展此功法时，敌人所中郁毒越深，此功法的威力就提高越多；根据此功法发挥的成数，向敌人施加一个降低郁毒抵抗的损害状态,开始施展此功法时，运用者所中郁毒越深，此功法的威力就提高越多；根据此功法发挥的成数，向运用者施加一个提高郁毒抵抗的增益状态
384,蝮蛇千针手,1,“忽远忽近，盘旋蜿蜒，反肘斜进，无孔不入”，即“蝮蛇之技”；“透骨锥心，锁胁闭血，千牙万齿，麻痒难当”，即“千针之法”。,1,拳掌,Invalid,1,12,1,528,true,false,24,属性1=70; 属性5=45; 属性83=150; 属性59=150,461,1187,1,8,1,false,"3, 4",1,150,0,0,-1,-1,0,"0, 0, 0, 0",0,"0, 0, 0, 0","0, 0, 0, 0","外:0, 内:0","外:0, 内:0","外:0, 内:0",0,0,0,0,0,0,0,0,"0, 0, 0, 0, 0, 0",21000,4,0,60,40,15,360,15,式7=1; 式8=1,0,0,354,-1,"0, 60, 1, 20, 20, 10, 10",60,"20, 40, 40, 0",true,false,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 450, 1",50,-1,,0,0,0,"0, 0, 0, 0",36,0,36,-1,-1,false,-1,-1,-1,0,0,0,"0, 0, 0, 0",0,0,0,0,0,list,"0, 0, 0, 15, 15, 0, 0","0, 0, 0, 15, 15, 0, 0",0,0,list2,"0, 0, 0, 0, 0",loopBonusSkillList,0,"20, 19, 41, 42, 43, 44, 45",以此功法攻击敌人时，如果敌人幻毒攻心，敌人「护体」功法的特殊效果无法生效,以此功法攻击敌人时，如果敌人幻毒攻心，敌人「轻灵」功法的特殊效果无法生效
385,血蛭掌,2,血蛭掌手法轻柔，毒性绵密，其掌力绝不外吐反而向掌心急吸，掌到之处肌肤故然流血不止，淋漓可怖，毒质也已由此而侵入脏腑。,1,拳掌,Invalid,1,12,1,529,true,false,25,属性3=40; 属性4=40; 属性5=50; 属性83=200; 属性59=200,462,1188,2,5,2,false,"3, 4",1,200,0,0,-1,-1,0,"0, 0, 0, 0",0,"0, 0, 0, 0","0, 0, 0, 0","外:0, 内:0","外:0, 内:0","外:0, 内:0",0,0,0,0,0,0,0,0,"0, 0, 0, 0, 0, 0",24000,4,0,60,30,15,320,10,式8=2,0,0,354,-1,"0, 120, 0, 0, 0, 0, 0",100,"30, 40, 30, 0",false,true,"0, 0, 0, 0, 0, 0, 600, 1, 0, 0, 0, 0",50,-1,,0,0,0,"0, 0, 0, 0",36,0,36,-1,-1,false,-1,-1,-1,0,0,0,"0, 0, 0, 0",0,0,0,0,0,list,"0, 0, 0, 40, 40, 0, 0","0, 0, 0, 0, 0, 0, 0",0,0,list2,"0, 0, 0, 0, 0",loopBonusSkillList,0,"20, 19, 17, 41, 42, 44, 45, 46",此功法对敌人腰腹造成的直接伤势标记将变化为更难恢复的旧时伤势,此功法对敌人腰腹造成的直接伤害提高30%；此功法发挥$0$成威力时，吸取敌人的架势
386,三尸断魂掌,3,三尸断魂掌阴毒无已，一掌之中共有三种不同的毒质，其一曰“僵”，中者麻木不仁；其二曰“斑”，中者面目乌黑；其三曰“疝”，中者肚破肠穿。,1,拳掌,Invalid,2,12,1,530,true,false,26,属性0=45; 属性4=45; 属性5=55; 属性83=250; 属性59=250,463,1189,2,5,3,false,"3, 4",2,250,0,0,-1,-1,0,"0, 0, 0, 0",0,"0, 0, 0, 0","0, 0, 0, 0","外:0, 内:0","外:0, 内:0","外:0, 内:0",0,0,0,0,0,0,0,0,"0, 0, 0, 0, 0, 0",24000,4,0,80,60,15,520,10,式6=1; 式7=1; 式8=1,0,0,273,-1,"60, 40, 1, 10, 10, 0, 0",90,"40, 40, 20, 0",false,false,"0, 0, 0, 0, 0, 0, 0, 0, 450, 2, 0, 0",50,-1,,0,0,0,"0, 0, 0, 0",36,0,36,-1,-1,false,-1,-1,-1,0,0,0,"0, 0, 0, 0",0,0,0,0,0,list,"0, 0, 0, 25, 25, 0, 0","0, 0, 0, 25, 25, 0, 0",0,0,list2,"0, 0, 0, 0, 0",loopBonusSkillList,0,"20, 19, 41, 42, 43, 44, 46",开始施展此功法时，运用者向敌人施加的毒素会根据敌人烈毒、赤毒、腐毒中中毒量最低的那一项变化，如果变化后向敌人施加的仍是腐毒，此功法的威力提高,开始施展此功法时，运用者向敌人施加的毒素会根据运用者烈毒、赤毒、腐毒中中毒量最低的那一项变化，如果变化后向敌人施加的仍是腐毒，此功法的威力提高
387,青蛛缠魂手,4,“青蛛有绝毒，缠魂五百世”。青蛛缠魂手奇诡莫测，掌力如丝如网，奇毒无比。青蛛绝毒更有“即令身死亦难尽除，仍会带往来世”之说。,1,拳掌,Invalid,2,12,1,531,true,true,27,属性1=100; 属性5=60; 属性83=300; 属性59=300,464,1190,3,5,4,false,"3, 4",2,300,0,0,-1,-1,0,"0, 0, 0, 0",0,"0, 0, 0, 0","0, 0, 0, 0","外:0, 内:0","外:0, 内:0","外:0, 内:0",0,0,0,0,0,0,0,0,"0, 0, 0, 0, 0, 0",18000,4,0,80,70,15,280,20,式8=3,0,0,354,-1,"0, 0, 1, 40, 40, 20, 20",160,"10, 60, 30, 0",true,false,"0, 0, 600, 2, 0, 0, 0, 0, 0, 0, 0, 0",50,-1,,0,0,0,"0, 0, 0, 0",36,0,36,-1,-1,false,-1,-1,-1,0,0,0,"0, 0, 0, 0",0,0,0,0,0,list,"0, 0, 0, 0, 0, 0, 0","0, 0, 0, 70, 70, 0, 0",0,0,list2,"0, 0, 0, 0, 0",loopBonusSkillList,0,"20, 19, 16, 41, 43, 44, 45, 46",此功法发挥$0$成威力后：随机选定敌人的2个威力增强最多的「摧破」功法；运用者开始施展此功法时，此功法的威力提高相当于所选功法的威力增强；每当敌人施展所选功法，运用者也能从施展进度50%开始无消耗施展此功法,此功法发挥$0$成威力后：随机选定敌人的1个威力减弱最多的「摧破」功法；运用者开始施展此功法时，此功法的威力提高相当于所选功法的威力减弱；每当敌人施展所选功法，运用者也能从施展进度50%开始无消耗施展此功法
388,朱蟾毒掌,5,朱蟾毒掌出掌之前必先全身蓄力，随即飞身跃出，其力道之强，毒性之猛，不仅非血肉之躯能够承受，任何铁衣金甲亦触之即溃。,1,拳掌,Invalid,2,12,1,532,true,true,28,属性4=110; 属性5=65; 属性83=350; 属性59=350,465,1191,3,5,5,false,"0, 1, 3, 4",2,350,0,0,-1,-1,0,"0, 0, 0, 0",0,"0, 0, 0, 0","0, 0, 0, 0","外:0, 内:0","外:0, 内:0","外:0, 内:0",0,0,0,0,0,0,0,0,"0, 0, 0, 0, 0, 0",21000,4,0,80,30,15,700,10,式6=3,0,0,273,-1,"40, 20, 1, 15, 15, 15, 15",130,"40, 40, 20, 0",false,false,"0, 0, 0, 0, 0, 0, 800, 2, 0, 0, 0, 0",50,-1,,0,0,0,"0, 0, 0, 0",36,0,36,-1,-1,false,-1,-1,-1,0,0,0,"0, 0, 0, 0",0,0,0,0,0,list,"0, 0, 0, 45, 45, 0, 0","0, 0, 0, 45, 45, 0, 0",0,0,list2,"0, 0, 0, 0, 0",loopBonusSkillList,0,"20, 19, 41, 42, 44, 45, 46",此功法发挥$0$成威力时，敌人的赤毒标记越多，就向敌人添加越多随机部位的破绽，并且根据此功法的威力对敌人随机身体部位施加越多外伤伤害,此功法发挥$0$成威力时，运用者的赤毒标记越多，就向敌人添加越多随机部位的破绽，并且根据此功法的威力对敌人随机身体部位施加越多外伤伤害
389,青黄赤黑神掌,6,青黄赤黑神掌乃苗疆五仙教之绝秘，功成者心口显出四色，双手有如僵尸，所发毒质每掌不同，有千百种变化，解无可解，避无可避。,1,拳掌,Invalid,3,12,1,533,true,true,29,属性4=120; 属性5=70; 属性83=400; 属性59=400,466,1192,4,5,6,false,"0, 1, 3, 4",3,400,0,0,-1,-1,0,"0, 0, 0, 0",0,"0, 0, 0, 0","0, 0, 0, 0","外:0, 内:0","外:0, 内:0","外:0, 内:0",0,0,0,0,0,0,0,0,"0, 0, 0, 0, 0, 0",24000,4,0,100,60,15,720,10,式6=2; 式8=2,0,0,345,-1,"60, 20, 1, 20, 20, 0, 0",190,"30, 20, 50, 0",false,false,"0, 0, 0, 0, 0, 0, 0, 0, 600, 3, 0, 0",50,-1,,0,0,0,"0, 0, 0, 0",36,0,36,-1,-1,false,-1,-1,-1,0,0,0,"0, 0, 0, 0",0,0,0,0,0,list,"0, 0, 0, 55, 55, 0, 0","0, 0, 0, 55, 55, 0, 0",0,0,list2,"0, 0, 0, 0, 0",loopBonusSkillList,0,"20, 19, 41, 42, 43, 44, 46",此功法向敌人施加的腐毒将变化为更难驱除的旧时毒素；此功法发挥$0$成威力时，会同时向敌人施加烈毒、赤毒、腐毒,此功法向敌人施加的腐毒大幅提高，但有较低的几率令运用者同时被施加一部分腐毒；此功法发挥$0$成威力时，长时间内封禁敌人最多3个外功比例不低于60%的功法
390,九死离魂手,7,九死离魂手至奇至毒，世间绝无仅有，中者魂飞魄散，故名“离魂”。然而此功恶尽恶绝，行功者亦会受其反噬，不免九死一生，故又谓之“九死”。,1,拳掌,Invalid,3,12,1,534,true,true,30,属性1=65; 属性4=65; 属性5=75; 属性83=450; 属性59=450,467,1193,4,5,7,false,"2, 3, 4",3,450,0,0,-1,-1,0,"0, 0, 0, 0",0,"0, 0, 0, 0","0, 0, 0, 0","外:0, 内:0","外:0, 内:0","外:0, 内:0",0,0,0,0,0,0,0,0,"0, 0, 0, 0, 0, 0",24000,4,0,100,50,15,680,15,式8=4,0,0,372,-1,"0, 40, 10, 25, 25, 15, 15",270,"0, 60, 40, 0",false,true,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 800, 3",50,-1,,0,0,0,"0, 0, 0, 0",36,0,36,-1,-1,false,-1,-1,-1,0,0,0,"0, 0, 0, 0",0,0,0,0,0,list,"0, 0, 0, 70, 70, 0, 0","0, 0, 0, 70, 70, 0, 0",0,0,list2,"0, 0, 0, 0, 0",loopBonusSkillList,0,"20, 19, 41, 42, 43, 44, 45",以此功法攻击敌人时，敌人所中幻毒越深，此功法对敌人造成的直接伤害就提高越多；此功法发挥$0$成威力时，敌人所中幻毒越深，敌人就有越高的几率产生其对本场战斗中敌我双方随机人物进行过或“关押”或“毒害”或“暗害”或“欺辱”的秘闻,以此功法攻击敌人时，运用者所中幻毒越深，此功法对敌人造成的直接伤害就提高越多；此功法发挥$0$成威力时，运用者所中幻毒越深，敌人就有越高的几率产生其对本场战斗中敌我双方随机人物进行过或“关押”或“毒害”或“暗害”或“欺辱”的秘闻
391,煅骨拳,0,诀曰：“三三九九煅铁骨”，煅骨拳需每日以肉掌反复拍击高温烙铁九九八十一次，历经九年方成，旨在锻筋炼骨，强壮拳力。,1,拳掌,Invalid,1,14,3,535,true,false,22,属性0=60; 属性3=40; 属性83=100; 属性55=80; 属性64=80,493,1219,1,2,0,false,"3, 4",1,100,0,0,-1,-1,0,"0, 0, 0, 0",0,"0, 0, 0, 0","0, 0, 0, 0","外:0, 内:0","外:0, 内:0","外:0, 内:0",0,0,0,0,0,0,0,0,"0, 0, 0, 0, 0, 0",24000,4,0,60,0,25,360,10,式6=2,0,0,282,-1,"80, 0, 1, 20, 20, 0, 0",60,"60, 10, 30, 0",false,false,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",50,-1,,0,0,0,"0, 0, 0, 0",36,0,36,-1,-1,false,-1,-1,-1,0,0,0,"0, 0, 0, 0",0,0,0,0,0,list,"0, 0, 0, 20, 20, 0, 0","0, 0, 0, 0, 0, 0, 0",0,0,list2,"0, 0, 0, 0, 0",loopBonusSkillList,0,"20, 19, 17, 41, 42, 43, 44, 45, 46",根据此功法发挥的成数，增加运用者所有「摧破」功法的威力上限，持续直到战斗结束,根据此功法发挥的威力成数，极短时间封禁敌人的1个「摧破」功法
392,伏龙醉八仙拳,1,伏龙醉八仙拳动迅静定，寓守于攻，屈如伏虎而伸比腾龙。行拳之际，脚踏五行八卦，姿态好似醉酒，有锵锵然之威风，如醉八仙之脱迹。,1,拳掌,Invalid,1,14,3,536,true,false,23,属性0=50; 属性3=30; 属性4=35; 属性83=150; 属性55=120; 属性64=120,494,1220,1,7,1,false,"3, 4, 5, 6",1,150,0,0,-1,-1,0,"0, 0, 0, 0",0,"0, 0, 0, 0","0, 0, 0, 0","外:0, 内:0","外:0, 内:0","外:0, 内:0",0,0,0,0,0,0,0,0,"0, 0, 0, 0, 0, 0",21000,4,0,60,30,25,240,10,式6=1; 式8=1,0,0,273,-1,"30, 30, 1, 15, 15, 15, 15",100,"40, 40, 20, 0",false,true,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",50,-1,,0,0,0,"0, 0, 0, 0",36,0,36,-1,-1,false,-1,-1,-1,0,0,0,"0, 0, 0, 0",0,0,0,0,0,list,"0, 0, 0, 20, 20, 0, 0","0, 0, 0, 0, 0, 0, 0",0,10,list2,"0, 0, 0, 0, 0",loopBonusSkillList,0,"20, 17, 41, 42, 43, 44, 45, 46",此功法发挥$0$成威力后，运用者获得8层此效果：运用者以兵器攻击敌人时，敌人只能以卸力、拆招、闪避、守心中最低的一项进行化解；如果运用者醉酒，运用者以兵器攻击敌人时，降低敌人最低的一项化解,此功法发挥$0$成威力后，运用者获得8层此效果：敌人以兵器攻击运用者时，敌人只能以力道、精妙、迅疾、动心中最低的一项进行命中；如果运用者醉酒，敌人以兵器攻击运用者时，降低敌人最低的一项命中
393,火炼掌,2,火炼掌乃伏龙坛之独门绝技，可凭空而发一道刚强炽浪，直取数丈之外的敌人，此功法极耗精神，但当者即燃，尤其骇人。,1,拳掌,Invalid,1,14,3,537,true,false,24,属性0=80; 属性4=50; 属性83=200; 属性55=160; 属性64=160,495,1221,2,0,2,true,"3, 4",1,200,0,0,-1,-1,0,"0, 0, 0, 0",0,"0, 0, 0, 0","0, 0, 0, 0","外:0, 内:0","外:0, 内:0","外:0, 内:0",0,0,0,0,0,0,0,0,"0, 0, 0, 0, 0, 0",27000,4,0,60,50,25,480,20,式6=2,0,0,282,-1,"80, 20, 1, 10, 10, 0, 0",80,"50, 20, 30, 0",false,false,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",50,-1,,0,0,0,"0, 0, 0, 0",36,0,36,-1,-1,false,-1,-1,-1,0,0,0,"0, 0, 0, 0",0,0,0,0,0,list,"0, 0, 0, 20, 20, 0, 0","0, 0, 0, 20, 20, 0, 0",0,0,list2,"0, 0, 0, 0, 0",loopBonusSkillList,0,"20, 19, 41, 42, 43, 44, 45, 46",以此功法击中敌人时，无视敌人的护具；此功法发挥$0$成威力后，运用者获得3层此效果：当敌人受到运用者的功法攻击时，消耗运用者10点体质，提高运用者的破体、破气,以此功法击中敌人时，无视敌人的护具；此功法发挥$0$成威力后，运用者获得3层此效果：当运用者受到敌人的功法攻击时，消耗运用者10点体质，提高运用者的御体、御气
394,疯魔醉拳,3,疯魔醉拳势与心结，力与神通，威力极强。行功之际如痴如醉，状如疯魔，稍有不慎则神智难返，需当心如磐石，意比金坚，方可施为。,1,拳掌,Invalid,2,14,3,538,true,false,25,属性0=90; 属性4=55; 属性83=250; 属性55=200; 属性64=200,496,1222,2,3,3,false,"0, 1, 2, 3, 4, 5, 6",2,250,0,0,-1,-1,0,"0, 0, 0, 0",0,"0, 0, 0, 0","0, 0, 0, 0","外:0, 内:0","外:0, 内:0","外:0, 内:0",0,0,0,0,0,0,0,0,"0, 0, 0, 0, 0, 0",24000,4,0,80,40,25,360,10,式6=3,0,0,273,-1,"60, 20, 1, 10, 10, 10, 10",130,"40, 40, 20, 0",false,true,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",50,-1,,0,0,0,"0, 0, 0, 0",36,0,36,-1,-1,false,-1,-1,-1,0,0,0,"0, 0, 0, 0",0,0,0,0,0,list,"0, 0, 0, 40, 40, 0, 0","0, 0, 0, 0, 0, 0, 0",0,20,list2,"0, 0, 0, 0, 0",loopBonusSkillList,0,"20, 17, 41, 42, 43, 44, 45, 46",此功法发挥$0$成威力时，运用者有较低几率在此功法施展结束后，再次从施展进度50%开始立即无消耗施展此功法攻击敌人，且运用者的内息越紊乱，由此施展的此功法造成的直接外伤就越高；如果运用者醉酒，再次施展此功法的几率大幅提高,此功法发挥$0$成威力时，运用者有较低几率在此功法施展结束后，再次从施展进度50%开始立即无消耗施展此功法攻击敌人，且运用者的内息越紊乱，由此施展的此功法造成的直接内伤就越高；如果运用者醉酒，再次施展此功法的几率大幅提高
395,大炫绝掌,4,所谓“炫绝”：炫者，威势浩大，有火光迸发，炫然有如日月；绝者，其力一吐，绝无回还余地，非力竭势尽不能休止。,1,拳掌,Invalid,2,14,3,539,true,false,26,属性0=110; 属性3=50; 属性83=300; 属性55=240; 属性64=240,497,1223,3,2,4,false,"3, 4",2,300,0,0,-1,-1,0,"0, 0, 0, 0",0,"0, 0, 0, 0","0, 0, 0, 0","外:0, 内:0","外:0, 内:0","外:0, 内:0",0,0,0,0,0,0,0,0,"0, 0, 0, 0, 0, 0",33000,4,0,80,0,25,880,15,式6=3,0,0,282,-1,"100, 20, 1, 0, 0, 0, 0",90,"60, 10, 30, 0",false,false,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",50,-1,,0,0,0,"0, 0, 0, 0",36,0,36,-1,-1,false,-1,-1,-1,0,0,0,"0, 0, 0, 0",0,0,0,0,0,list,"0, 0, 0, 70, 70, 0, 0","0, 0, 0, 0, 0, 0, 0",0,0,list2,"0, 0, 0, 0, 0",loopBonusSkillList,0,"20, 19, 17, 41, 42, 43, 44, 45, 46",开始施展此功法时，转移运用者与敌人的各1个威力最高的「护体」功法的一部分威力至此功法，持续直到战斗结束,开始施展此功法时，转移运用者与敌人的各1个威力最高的「轻灵」功法的一部分威力至此功法，持续直到战斗结束
396,小玉阳神拳,5,小玉阳神拳轻捷跳脱，招招凌空而发，拳势东倒西歪，变幻莫测，繁密有如细雨。小玉阳神拳源自东海之外，与大玉阳神拳一奇一正，并世无双。,1,拳掌,Invalid,2,14,5,540,true,true,27,属性4=90; 属性5=85; 属性83=350; 属性55=280; 属性64=280,498,1224,3,0,5,true,"3, 4",2,350,0,0,-1,-1,0,"0, 0, 0, 0",0,"0, 0, 0, 0","0, 0, 0, 0","外:0, 内:0","外:0, 内:0","外:0, 内:0",0,0,0,0,0,0,0,0,"0, 0, 0, 0, 0, 0",21000,4,0,80,70,25,480,10,式6=1; 式7=1; 式8=1,0,0,273,-1,"40, 20, 1, 20, 20, 10, 10",170,"40, 40, 20, 0",false,false,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",50,-1,,0,0,0,"0, 0, 0, 0",36,0,36,-1,-1,false,-1,-1,-1,0,0,0,"0, 0, 0, 0",0,0,0,0,0,list,"0, 0, 0, 35, 35, 0, 0","0, 0, 0, 35, 35, 0, 0",0,35,list2,"0, 0, 0, 0, 0",loopBonusSkillList,0,"20, 41, 42, 43, 44, 45, 46",此功法发挥$0$成威力时，如果消耗运用者的10点「摧破」真气，随机使运用者的最多2个「摧破」功法的持续效果的层数增加其最大层数的50%,此功法发挥$0$成威力时，如果消耗运用者的10点「摧破」真气，随机使敌人的最多2个「摧破」功法的持续效果的层数减少其最大层数的50%
397,离火六阳掌,6,离火六阳掌由“手三阳，足三阳”六阳经脉而发，其力至刚纯阳，猛烈淳厚已极，中者如入炼狱火窟，五脏六腑无不化作焦炭。,1,拳掌,Invalid,3,14,3,541,true,true,28,属性0=120; 属性4=70; 属性83=400; 属性55=320; 属性64=320,499,1225,4,1,6,true,"0, 1, 3, 4",3,400,0,0,-1,-1,0,"0, 0, 0, 0",0,"0, 0, 0, 0","0, 0, 0, 0","外:0, 内:0","外:0, 内:0","外:0, 内:0",0,0,0,0,0,0,0,0,"0, 0, 0, 0, 0, 0",30000,4,0,100,50,25,880,10,式6=4,0,0,282,-1,"80, 20, 1, 10, 10, 0, 0",170,"50, 10, 40, 0",false,false,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",50,-1,,0,0,0,"0, 0, 0, 0",36,0,36,-1,-1,false,-1,-1,-1,0,0,0,"0, 0, 0, 0",0,0,0,0,0,list,"0, 0, 0, 110, 110, 0, 0","0, 0, 0, 0, 0, 0, 0",0,0,list2,"0, 0, 0, 0, 0",loopBonusSkillList,0,"20, 19, 17, 41, 42, 43, 44, 45, 46",以此功法开始攻击敌人时，如果敌人的内力属性为「金刚」、「紫霞」，消除敌人运起的「护体」、「轻灵」功法，并将敌人3个「摧破」功法的持续效果消减为0层,此功法发挥$0$成威力时，如果敌人的内力属性为「金刚」、「紫霞」，运用者对敌人造成的直接伤害提高90%
